yearday,skagit,snohomish,stillaguamish,columbia,puyallup,green,nisqually,deschutes,skagit_south,skokomish,duckabush,fraser,dosewallips,hamma,cedar,nooksack,samish
37,6.4364,6.4364,6.4364,5.34,6.4364,6.4364,6.4364,6.4364,6.4364,6.4364,6.4364,6.4364,6.4364,6.4364,6.4364,6.4364,6.4364
38,6.3273,6.3273,6.3273,5.31,6.3273,6.3273,6.3273,6.3273,6.3273,6.3273,6.3273,6.3273,6.3273,6.3273,6.3273,6.3273,6.3273
39,6.2091,6.2091,6.2091,5.25,6.2091,6.2091,6.2091,6.2091,6.2091,6.2091,6.2091,6.2091,6.2091,6.2091,6.2091,6.2091,6.2091
40,6.1636,6.1636,6.1636,5.21,6.1636,6.1636,6.1636,6.1636,6.1636,6.1636,6.1636,6.1636,6.1636,6.1636,6.1636,6.1636,6.1636
41,6.3364,6.3364,6.3364,5.2,6.3364,6.3364,6.3364,6.3364,6.3364,6.3364,6.3364,6.3364,6.3364,6.3364,6.3364,6.3364,6.3364
42,6.4091,6.4091,6.4091,5.2,6.4091,6.4091,6.4091,6.4091,6.4091,6.4091,6.4091,6.4091,6.4091,6.4091,6.4091,6.4091,6.4091
43,6.4545,6.4545,6.4545,5.22,6.4545,6.4545,6.4545,6.4545,6.4545,6.4545,6.4545,6.4545,6.4545,6.4545,6.4545,6.4545,6.4545
44,6.4545,6.4545,6.4545,5.19,6.4545,6.4545,6.4545,6.4545,6.4545,6.4545,6.4545,6.4545,6.4545,6.4545,6.4545,6.4545,6.4545
45,6.4636,6.4636,6.4636,5.23,6.4636,6.4636,6.4636,6.4636,6.4636,6.4636,6.4636,6.4636,6.4636,6.4636,6.4636,6.4636,6.4636
46,6.6091,6.6091,6.6091,5.31,6.6091,6.6091,6.6091,6.6091,6.6091,6.6091,6.6091,6.6091,6.6091,6.6091,6.6091,6.6091,6.6091
47,6.52,6.52,6.52,5.38,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52
48,6.67,6.67,6.67,5.43,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67
49,6.7091,6.7091,6.7091,5.45,6.7091,6.7091,6.7091,6.7091,6.7091,6.7091,6.7091,6.7091,6.7091,6.7091,6.7091,6.7091,6.7091
50,6.56,6.56,6.56,5.47,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56
51,6.71,6.71,6.71,5.45,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71
52,7.05,7.05,7.05,5.59,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05
53,6.8455,6.8455,6.8455,5.7,6.8455,6.8455,6.8455,6.8455,6.8455,6.8455,6.8455,6.8455,6.8455,6.8455,6.8455,6.8455,6.8455
54,6.6909,6.6909,6.6909,5.76,6.6909,6.6909,6.6909,6.6909,6.6909,6.6909,6.6909,6.6909,6.6909,6.6909,6.6909,6.6909,6.6909
55,6.4545,6.4545,6.4545,5.73,6.4545,6.4545,6.4545,6.4545,6.4545,6.4545,6.4545,6.4545,6.4545,6.4545,6.4545,6.4545,6.4545
56,6.3909,6.3909,6.3909,5.63,6.3909,6.3909,6.3909,6.3909,6.3909,6.3909,6.3909,6.3909,6.3909,6.3909,6.3909,6.3909,6.3909
57,6.5364,6.5364,6.5364,5.6,6.5364,6.5364,6.5364,6.5364,6.5364,6.5364,6.5364,6.5364,6.5364,6.5364,6.5364,6.5364,6.5364
58,6.7818,6.7818,6.7818,5.63,6.7818,6.7818,6.7818,6.7818,6.7818,6.7818,6.7818,6.7818,6.7818,6.7818,6.7818,6.7818,6.7818
59,6.9455,6.9455,6.9455,5.69,6.9455,6.9455,6.9455,6.9455,6.9455,6.9455,6.9455,6.9455,6.9455,6.9455,6.9455,6.9455,6.9455
60,7.0583,7.0583,7.0583,5.75,7.0583,7.0583,7.0583,7.0583,7.0583,7.0583,7.0583,7.0583,7.0583,7.0583,7.0583,7.0583,7.0583
61,6.9667,6.9667,6.9667,5.83,6.9667,6.9667,6.9667,6.9667,6.9667,6.9667,6.9667,6.9667,6.9667,6.9667,6.9667,6.9667,6.9667
62,7.025,7.025,7.025,5.89,7.025,7.025,7.025,7.025,7.025,7.025,7.025,7.025,7.025,7.025,7.025,7.025,7.025
63,7.175,7.175,7.175,6,7.175,7.175,7.175,7.175,7.175,7.175,7.175,7.175,7.175,7.175,7.175,7.175,7.175
64,6.95,6.95,6.95,6.09,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95
65,6.9083,6.9083,6.9083,6.18,6.9083,6.9083,6.9083,6.9083,6.9083,6.9083,6.9083,6.9083,6.9083,6.9083,6.9083,6.9083,6.9083
66,7,7,7,6.25,7,7,7,7,7,7,7,7,7,7,7,7,7
67,7.0818,7.0818,7.0818,6.34,7.0818,7.0818,7.0818,7.0818,7.0818,7.0818,7.0818,7.0818,7.0818,7.0818,7.0818,7.0818,7.0818
68,7.0636,7.0636,7.0636,6.42,7.0636,7.0636,7.0636,7.0636,7.0636,7.0636,7.0636,7.0636,7.0636,7.0636,7.0636,7.0636,7.0636
69,7.4545,7.4545,7.4545,6.54,7.4545,7.4545,7.4545,7.4545,7.4545,7.4545,7.4545,7.4545,7.4545,7.4545,7.4545,7.4545,7.4545
70,7.6273,7.6273,7.6273,6.73,7.6273,7.6273,7.6273,7.6273,7.6273,7.6273,7.6273,7.6273,7.6273,7.6273,7.6273,7.6273,7.6273
71,7.5727,7.5727,7.5727,6.87,7.5727,7.5727,7.5727,7.5727,7.5727,7.5727,7.5727,7.5727,7.5727,7.5727,7.5727,7.5727,7.5727
72,7.5545,7.5545,7.5545,6.97,7.5545,7.5545,7.5545,7.5545,7.5545,7.5545,7.5545,7.5545,7.5545,7.5545,7.5545,7.5545,7.5545
73,7.3727,7.3727,7.3727,7.06,7.3727,7.3727,7.3727,7.3727,7.3727,7.3727,7.3727,7.3727,7.3727,7.3727,7.3727,7.3727,7.3727
74,7.2182,7.2182,7.2182,7.05,7.2182,7.2182,7.2182,7.2182,7.2182,7.2182,7.2182,7.2182,7.2182,7.2182,7.2182,7.2182,7.2182
75,7.3,7.3,7.3,7.1222,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3
76,7.5,7.5,7.5,7.1444,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
77,7.5,7.5,7.5,7.2,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
78,7.6091,7.6091,7.6091,7.31,7.6091,7.6091,7.6091,7.6091,7.6091,7.6091,7.6091,7.6091,7.6091,7.6091,7.6091,7.6091,7.6091
79,7.6273,7.6273,7.6273,7.4,7.6273,7.6273,7.6273,7.6273,7.6273,7.6273,7.6273,7.6273,7.6273,7.6273,7.6273,7.6273,7.6273
80,7.8,7.8,7.8,7.57,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8
81,7.9909,7.9909,7.9909,7.67,7.9909,7.9909,7.9909,7.9909,7.9909,7.9909,7.9909,7.9909,7.9909,7.9909,7.9909,7.9909,7.9909
82,8.1909,8.1909,8.1909,7.83,8.1909,8.1909,8.1909,8.1909,8.1909,8.1909,8.1909,8.1909,8.1909,8.1909,8.1909,8.1909,8.1909
83,8.0583,8.0583,8.0583,7.94,8.0583,8.0583,8.0583,8.0583,8.0583,8.0583,8.0583,8.0583,8.0583,8.0583,8.0583,8.0583,8.0583
84,7.5818,7.5818,7.5818,8.05,7.5818,7.5818,7.5818,7.5818,7.5818,7.5818,7.5818,7.5818,7.5818,7.5818,7.5818,7.5818,7.5818
85,7.5455,7.5455,7.5455,8.01,7.5455,7.5455,7.5455,7.5455,7.5455,7.5455,7.5455,7.5455,7.5455,7.5455,7.5455,7.5455,7.5455
86,7.7,7.7,7.7,8.03,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7
87,7.6455,7.6455,7.6455,8.1,7.6455,7.6455,7.6455,7.6455,7.6455,7.6455,7.6455,7.6455,7.6455,7.6455,7.6455,7.6455,7.6455
88,7.9273,7.9273,7.9273,8.28,7.9273,7.9273,7.9273,7.9273,7.9273,7.9273,7.9273,7.9273,7.9273,7.9273,7.9273,7.9273,7.9273
89,8.1091,8.1091,8.1091,8.45,8.1091,8.1091,8.1091,8.1091,8.1091,8.1091,8.1091,8.1091,8.1091,8.1091,8.1091,8.1091,8.1091
90,7.9636,7.9636,7.9636,8.6556,7.9636,7.9636,7.9636,7.9636,7.9636,7.9636,7.9636,7.9636,7.9636,7.9636,7.9636,7.9636,7.9636
91,7.7455,7.7455,7.7455,8.6778,7.7455,7.7455,7.7455,7.7455,7.7455,7.7455,7.7455,7.7455,7.7455,7.7455,7.7455,7.7455,7.7455
92,7.8,7.8,7.8,8.7111,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8
93,8.1455,8.1455,8.1455,8.8222,8.1455,8.1455,8.1455,8.1455,8.1455,8.1455,8.1455,8.1455,8.1455,8.1455,8.1455,8.1455,8.1455
94,8.3727,8.3727,8.3727,8.9778,8.3727,8.3727,8.3727,8.3727,8.3727,8.3727,8.3727,8.3727,8.3727,8.3727,8.3727,8.3727,8.3727
95,8.6455,8.6455,8.6455,9.0444,8.6455,8.6455,8.6455,8.6455,8.6455,8.6455,8.6455,8.6455,8.6455,8.6455,8.6455,8.6455,8.6455
96,8.7182,8.7182,8.7182,9.0778,8.7182,8.7182,8.7182,8.7182,8.7182,8.7182,8.7182,8.7182,8.7182,8.7182,8.7182,8.7182,8.7182
97,8.7182,8.7182,8.7182,9.1,8.7182,8.7182,8.7182,8.7182,8.7182,8.7182,8.7182,8.7182,8.7182,8.7182,8.7182,8.7182,8.7182
98,8.7,8.7,8.7,9.2222,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7
99,8.7455,8.7455,8.7455,9.3333,8.7455,8.7455,8.7455,8.7455,8.7455,8.7455,8.7455,8.7455,8.7455,8.7455,8.7455,8.7455,8.7455
100,9.01,9.01,9.01,9.4667,9.01,9.01,9.01,9.01,9.01,9.01,9.01,9.01,9.01,9.01,9.01,9.01,9.01
101,8.95,8.95,8.95,9.6,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95
